sample_id,class,mask_coverage,input_full_RMSE,input_full_MAE,input_full_REL,input_full_δ1.05,input_full_δ1.10,input_full_δ1.25,input_full_n_valid,pred_full_RMSE,pred_full_MAE,pred_full_REL,pred_full_δ1.05,pred_full_δ1.10,pred_full_δ1.25,pred_full_n_valid,input_mask_RMSE,input_mask_MAE,input_mask_REL,input_mask_δ1.05,input_mask_δ1.10,input_mask_δ1.25,input_mask_n_valid,pred_mask_RMSE,pred_mask_MAE,pred_mask_REL,pred_mask_δ1.05,pred_mask_δ1.10,pred_mask_δ1.25,pred_mask_n_valid
000008346,stemless-plastic-champagne-glass-train,0.10107422,0.6385658,0.20288871,0.42231828,0.89892578125,0.89892578125,0.89892578125,16384,0.036157552,0.03460888,0.052291982,0.51483154296875,0.94097900390625,0.9989013671875,16384,2.008563,2.007324,4.178299,0.0,0.0,0.0,1656,0.056359295,0.050523926,0.10440633,0.14794685990338163,0.46980676328502413,0.9933574879227053,1656
000002371,heart-bath-bomb-train,0.06225586,0.5553982,0.13857397,0.5076754,0.937744140625,0.937744140625,0.937744140625,16384,0.029011996,0.028289579,0.08078964,0.0322265625,0.78521728515625,0.99932861328125,16384,2.2259448,2.2258785,8.15466,0.0,0.0,0.0,1020,0.045712642,0.044994935,0.16466793,0.0058823529411764705,0.013725490196078431,0.9980392156862745,1020
000001639,cup-with-waves-train,0.14324951,0.7836096,0.29647344,0.7033003,0.85675048828125,0.85675048828125,0.85675048828125,16384,0.056612656,0.055153683,0.10848263,0.0032958984375,0.38739013671875,0.9918212890625,16384,2.070395,2.0696297,4.9096174,0.0,0.0,0.0,2347,0.07940075,0.076089725,0.1785976,0.017895185342991053,0.07754580315296122,0.9492969748615253,2347
000001437,flower-bath-bomb-train,0.041259766,0.44518504,0.09042688,0.29374617,0.958740234375,0.958740234375,0.958740234375,16384,0.03247737,0.0318622,0.08225487,0.0185546875,0.79632568359375,0.99896240234375,16384,2.1916802,2.1916478,7.119434,0.0,0.0,0.0,676,0.053532593,0.052557077,0.17040662,0.0014792899408284023,0.0073964497041420114,0.9822485207100592,676
000011124,heart-bath-bomb-train,0.018249512,0.25202215,0.03404066,0.053819,0.98175048828125,0.98175048828125,0.98175048828125,16384,0.023100905,0.019886676,0.030928005,0.95965576171875,0.98095703125,1.0,16384,1.8655765,1.8652915,2.9490652,0.0,0.0,0.0,299,0.099782564,0.09849777,0.15627258,0.0,0.010033444816053512,1.0,299
000009703,heart-bath-bomb-train,0.02709961,0.329555,0.054244846,0.10937169,0.972900390625,0.972900390625,0.972900390625,16384,0.04057716,0.040051423,0.06584271,0.03369140625,0.9608154296875,1.0,16384,2.0019183,2.0016837,4.035914,0.0,0.0,0.0,444,0.07574389,0.07535917,0.1516122,0.0,0.006756756756756757,1.0,444
000004219,heart-bath-bomb-train,0.032165527,0.3982319,0.07142095,0.25590432,0.96783447265625,0.96783447265625,0.96783447265625,16384,0.037459347,0.036043532,0.07679586,0.2188720703125,0.78173828125,0.9725341796875,16384,2.2204485,2.2204192,7.9558544,0.0,0.0,0.0,527,0.089211546,0.08795303,0.31502903,0.0,0.0,0.1461100569259962,527
000001792,heart-bath-bomb-train,0.01965332,0.2551141,0.03575957,0.052693836,0.9803466796875,0.9803466796875,0.9803466796875,16384,0.03870559,0.038441688,0.05044164,0.42181396484375,0.9940185546875,1.0,16384,1.8197702,1.8195179,2.6811671,0.0,0.0,0.0,322,0.06376876,0.062556155,0.09250762,0.006211180124223602,0.6956521739130435,1.0,322
000010789,stemless-plastic-champagne-glass-train,0.016967773,0.17373087,0.022607625,0.0194563,0.9830322265625,0.9830322265625,0.9830322265625,16384,0.04445823,0.043862075,0.033732656,0.956298828125,0.99920654296875,1.0,16384,1.3337197,1.332386,1.1466621,0.0,0.0,0.0,278,0.08201591,0.07853853,0.06779943,0.22302158273381295,0.960431654676259,1.0,278
000002182,stemless-plastic-champagne-glass-train,0.030212402,0.3224826,0.055951178,0.08974846,0.96978759765625,0.96978759765625,0.96978759765625,16384,0.02546799,0.018058429,0.022691932,0.96881103515625,0.9715576171875,0.99285888671875,16384,1.8552979,1.8519275,2.9705834,0.0,0.0,0.0,495,0.11753498,0.11345204,0.18620063,0.020202020202020204,0.06464646464646465,0.7656565656565657,495
