Dataset,pred_full_RMSE,pred_mask_RMSE,pred_full_MAE,pred_mask_MAE,pred_full_REL,pred_mask_REL,pred_full_δ1.05,pred_mask_δ1.05,pred_full_δ1.10,pred_mask_δ1.10,pred_full_δ1.25,pred_mask_δ1.25
Test,0.19252166,0.07878788,0.1228447,0.06661742,0.18297896,0.11066225,0.15385422895531922,0.30355250950245344,0.44023776247992286,0.5274233225476813,0.7221055366859946,0.9011400459453027
Validation,0.17394458,0.09488636,0.114250556,0.07908061,0.16512184,0.13459879,0.31708627788613347,0.21676007536156058,0.5653004722778043,0.4428860205440684,0.7563208884614073,0.8335469200968827
