Dataset,pred_full_RMSE,pred_mask_RMSE,pred_full_MAE,pred_mask_MAE,pred_full_REL,pred_mask_REL,pred_full_δ1.05,pred_mask_δ1.05,pred_full_δ1.10,pred_mask_δ1.10,pred_full_δ1.25,pred_mask_δ1.25
Test,0.15638442,0.09549793,0.08392602,0.07916321,0.124894865,0.124677174,0.3827679278991136,0.3212452360251639,0.722560586457363,0.5506516440447661,0.8514214943006908,0.8113928003592226
Validation,0.15630886,0.11745501,0.09091639,0.09853554,0.1300809,0.16412984,0.4760745145211641,0.27868623688333327,0.7368395956847115,0.4405680471842744,0.8356054368253237,0.6872253215752047
